cif,target,compound,status,n_pass,n_total,pb_sanitization,pb_inchi_convertible,pb_all_atoms_connected,pb_no_radicals,pb_bond_lengths,pb_bond_angles,pb_internal_steric_clash,pb_aromatic_ring_flatness,pb_non-aromatic_ring_non-flatness,pb_double_bond_flatness,pb_internal_energy,pb_protein-ligand_maximum_distance,pb_minimum_distance_to_protein,pb_minimum_distance_to_organic_cofactors,pb_minimum_distance_to_inorganic_cofactors,pb_minimum_distance_to_waters,pb_volume_overlap_with_protein,pb_volume_overlap_with_organic_cofactors,pb_volume_overlap_with_inorganic_cofactors,pb_volume_overlap_with_waters
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Emodin/ctnnb1__Emodin_model_0.cif,ctnnb1,Emodin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Finasteride/ctnnb1__Finasteride_model_0.cif,ctnnb1,Finasteride,ok,19,20,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Thujin/ar__Thujin_model_0.cif,ar,Thujin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Physcion/ar__Physcion_model_0.cif,ar,Physcion,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Saponin_Re/srd5a2__Saponin_Re_model_0.cif,srd5a2,Saponin_Re,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Biochanin_A/ctnnb1__Biochanin_A_model_0.cif,ctnnb1,Biochanin_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Saponin_Re/ar__Saponin_Re_model_0.cif,ar,Saponin_Re,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Thujin/ctnnb1__Thujin_model_0.cif,ctnnb1,Thujin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__EGCG/ar__EGCG_model_0.cif,ar,EGCG,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Genistein/ctnnb1__Genistein_model_0.cif,ctnnb1,Genistein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Emodin/srd5a2__Emodin_model_0.cif,srd5a2,Emodin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Physcion/srd5a2__Physcion_model_0.cif,srd5a2,Physcion,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Biochanin_A/srd5a2__Biochanin_A_model_0.cif,srd5a2,Biochanin_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Ferulic_acid/srd5a2__Ferulic_acid_model_0.cif,srd5a2,Ferulic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Ginsenoside_Rb1/ar__Ginsenoside_Rb1_model_0.cif,ar,Ginsenoside_Rb1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Astragaloside_IV/srd5a2__Astragaloside_IV_model_0.cif,srd5a2,Astragaloside_IV,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Ginsenoside_Rg1/srd5a2__Ginsenoside_Rg1_model_0.cif,srd5a2,Ginsenoside_Rg1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Genistein/ar__Genistein_model_0.cif,ar,Genistein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Genistein/srd5a2__Genistein_model_0.cif,srd5a2,Genistein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__EGCG/srd5a2__EGCG_model_0.cif,srd5a2,EGCG,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Procyanidin_B2/ar__Procyanidin_B2_model_0.cif,ar,Procyanidin_B2,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Ginsenoside_Rb1/ctnnb1__Ginsenoside_Rb1_model_0.cif,ctnnb1,Ginsenoside_Rb1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Biochanin_A/ar__Biochanin_A_model_0.cif,ar,Biochanin_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Finasteride/ar__Finasteride_model_0.cif,ar,Finasteride,ok,18,20,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Licochalcone_A/ar__Licochalcone_A_model_0.cif,ar,Licochalcone_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Baicalein/ar__Baicalein_model_0.cif,ar,Baicalein,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Shikonin/srd5a2__Shikonin_model_0.cif,srd5a2,Shikonin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Tretinoin/ar__Tretinoin_model_0.cif,ar,Tretinoin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Acetylshikonin/srd5a2__Acetylshikonin_model_0.cif,srd5a2,Acetylshikonin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Acetylshikonin/ar__Acetylshikonin_model_0.cif,ar,Acetylshikonin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Palmatine/ar__Palmatine_model_0.cif,ar,Palmatine,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Resveratrol/srd5a2__Resveratrol_model_0.cif,srd5a2,Resveratrol,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Baicalin/srd5a2__Baicalin_model_0.cif,srd5a2,Baicalin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Magnolol/ar__Magnolol_model_0.cif,ar,Magnolol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Licochalcone_A/srd5a2__Licochalcone_A_model_0.cif,srd5a2,Licochalcone_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Shikonin/ar__Shikonin_model_0.cif,ar,Shikonin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__EGCG/ar__EGCG_model_0.cif,ar,EGCG,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Paeonol/srd5a2__Paeonol_model_0.cif,srd5a2,Paeonol,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Curcumin/ar__Curcumin_model_0.cif,ar,Curcumin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Magnolol/srd5a2__Magnolol_model_0.cif,srd5a2,Magnolol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Palmatine/srd5a2__Palmatine_model_0.cif,srd5a2,Palmatine,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Resveratrol/ar__Resveratrol_model_0.cif,ar,Resveratrol,"bond_assign_failed: Explicit valence for atom # 8 C, 6, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Baicalein/srd5a2__Baicalein_model_0.cif,srd5a2,Baicalein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Paeonol/ar__Paeonol_model_0.cif,ar,Paeonol,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Wogonin/ar__Wogonin_model_0.cif,ar,Wogonin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Baicalin/ar__Baicalin_model_0.cif,ar,Baicalin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Curcumin/srd5a2__Curcumin_model_0.cif,srd5a2,Curcumin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Wogonin/srd5a2__Wogonin_model_0.cif,srd5a2,Wogonin,"bond_assign_failed: Explicit valence for atom # 12 C, 6, is greater th",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Berberine/srd5a2__Berberine_model_0.cif,srd5a2,Berberine,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/ar__Berberine/ar__Berberine_model_0.cif,ar,Berberine,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__EGCG/srd5a2__EGCG_model_0.cif,srd5a2,EGCG,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/acne/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Tretinoin/srd5a2__Tretinoin_model_0.cif,srd5a2,Tretinoin,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Pterostilbene/sirt1__Pterostilbene_model_0.cif,sirt1,Pterostilbene,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Ascorbic_acid/sirt1__Ascorbic_acid_model_0.cif,sirt1,Ascorbic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Niacinamide/mmp1__Niacinamide_model_0.cif,mmp1,Niacinamide,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Embelin/sirt1__Embelin_model_0.cif,sirt1,Embelin,ok,17,20,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__EMB_3/mmp1__EMB_3_model_0.cif,mmp1,EMB_3,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Curcumin/sirt1__Curcumin_model_0.cif,sirt1,Curcumin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Epicatechin/sirt1__Epicatechin_model_0.cif,sirt1,Epicatechin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Pterostilbene/mmp1__Pterostilbene_model_0.cif,mmp1,Pterostilbene,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__EGCG/mmp1__EGCG_model_0.cif,mmp1,EGCG,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Epigallocatechin/sirt1__Epigallocatechin_model_0.cif,sirt1,Epigallocatechin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Astragaloside_IV/sirt1__Astragaloside_IV_model_0.cif,sirt1,Astragaloside_IV,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Tretinoin/mmp1__Tretinoin_model_0.cif,mmp1,Tretinoin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Ferulic_acid/mmp1__Ferulic_acid_model_0.cif,mmp1,Ferulic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Astragaloside_IV/mmp1__Astragaloside_IV_model_0.cif,mmp1,Astragaloside_IV,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__EGCG/sirt1__EGCG_model_0.cif,sirt1,EGCG,"bond_assign_failed: Explicit valence for atom # 0 O, 4, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Curcumin/mmp1__Curcumin_model_0.cif,mmp1,Curcumin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Ascorbic_acid/mmp1__Ascorbic_acid_model_0.cif,mmp1,Ascorbic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Resveratrol/sirt1__Resveratrol_model_0.cif,sirt1,Resveratrol,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Genistein/sirt1__Genistein_model_0.cif,sirt1,Genistein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Embelin/mmp1__Embelin_model_0.cif,mmp1,Embelin,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Niacinamide/sirt1__Niacinamide_model_0.cif,sirt1,Niacinamide,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Epigallocatechin/mmp1__Epigallocatechin_model_0.cif,mmp1,Epigallocatechin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Genistein/mmp1__Genistein_model_0.cif,mmp1,Genistein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__EMB_3/sirt1__EMB_3_model_0.cif,sirt1,EMB_3,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Tretinoin/sirt1__Tretinoin_model_0.cif,sirt1,Tretinoin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/sirt1__Ferulic_acid/sirt1__Ferulic_acid_model_0.cif,sirt1,Ferulic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Resveratrol/mmp1__Resveratrol_model_0.cif,mmp1,Resveratrol,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/photoaging/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__Epicatechin/mmp1__Epicatechin_model_0.cif,mmp1,Epicatechin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/SIRT1__EMB-3_chai1/pred.model_idx_1.cif,SIRT1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/SIRT1__EMB-3_chai1/pred.model_idx_4.cif,SIRT1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/SIRT1__EMB-3_chai1/pred.model_idx_2.cif,SIRT1,EMB-3,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/SIRT1__EMB-3_chai1/pred.model_idx_3.cif,SIRT1,EMB-3,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/SIRT1__EMB-3_chai1/pred.model_idx_0.cif,SIRT1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TGFB1__EMB-3_chai1/pred.model_idx_1.cif,TGFB1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TGFB1__EMB-3_chai1/pred.model_idx_4.cif,TGFB1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TGFB1__EMB-3_chai1/pred.model_idx_2.cif,TGFB1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TGFB1__EMB-3_chai1/pred.model_idx_3.cif,TGFB1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TGFB1__EMB-3_chai1/pred.model_idx_0.cif,TGFB1,EMB-3,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/AR__Baicalein_chai1/pred.model_idx_1.cif,AR,Baicalein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/AR__Baicalein_chai1/pred.model_idx_4.cif,AR,Baicalein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/AR__Baicalein_chai1/pred.model_idx_2.cif,AR,Baicalein,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/AR__Baicalein_chai1/pred.model_idx_3.cif,AR,Baicalein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/AR__Baicalein_chai1/pred.model_idx_0.cif,AR,Baicalein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TYR__Oxyresveratrol_chai1/pred.model_idx_1.cif,TYR,Oxyresveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TYR__Oxyresveratrol_chai1/pred.model_idx_4.cif,TYR,Oxyresveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TYR__Oxyresveratrol_chai1/pred.model_idx_2.cif,TYR,Oxyresveratrol,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TYR__Oxyresveratrol_chai1/pred.model_idx_3.cif,TYR,Oxyresveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/TYR__Oxyresveratrol_chai1/pred.model_idx_0.cif,TYR,Oxyresveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/MMP1__EMB-3_chai1/pred.model_idx_1.cif,MMP1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/chai1_ensemble/chai1_runs/MMP1__EMB-3_chai1/pred.model_idx_4.cif,MMP1,EMB-3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
